source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
forecast,2026-07-01T17:32:08+00:00,3117735,Madrid,ES,2026-07-01,40.4375,-3.6875,Europe/Madrid,36.0,22.3,29.2,0.0,0.0,0.0,17.4,46.1
forecast,2026-07-01T17:32:08+00:00,3117735,Madrid,ES,2026-07-02,40.4375,-3.6875,Europe/Madrid,34.2,17.4,25.3,0.0,0.0,0.0,17.8,47.9
forecast,2026-07-01T17:32:08+00:00,3117735,Madrid,ES,2026-07-03,40.4375,-3.6875,Europe/Madrid,36.0,19.0,27.2,0.0,0.0,0.0,17.1,46.1
forecast,2026-07-01T17:32:08+00:00,3117735,Madrid,ES,2026-07-04,40.4375,-3.6875,Europe/Madrid,37.6,21.7,29.5,0.0,0.0,0.0,12.9,31.3
forecast,2026-07-01T17:32:08+00:00,3117735,Madrid,ES,2026-07-05,40.4375,-3.6875,Europe/Madrid,37.7,23.1,30.5,0.0,0.0,0.0,11.5,29.5
forecast,2026-07-01T17:32:08+00:00,3117735,Madrid,ES,2026-07-06,40.4375,-3.6875,Europe/Madrid,37.9,23.9,30.8,0.3,0.0,0.0,8.7,30.6
forecast,2026-07-01T17:32:08+00:00,3117735,Madrid,ES,2026-07-07,40.4375,-3.6875,Europe/Madrid,39.0,24.3,31.7,0.0,0.0,0.0,14.0,35.3
forecast,2026-07-01T17:32:08+00:00,3128760,Barcelona,ES,2026-07-01,41.375,2.125,Europe/Madrid,28.5,23.4,26.4,0.0,0.0,0.0,17.4,43.9
forecast,2026-07-01T17:32:08+00:00,3128760,Barcelona,ES,2026-07-02,41.375,2.125,Europe/Madrid,29.1,23.0,26.1,0.0,0.0,0.0,17.6,47.5
forecast,2026-07-01T17:32:08+00:00,3128760,Barcelona,ES,2026-07-03,41.375,2.125,Europe/Madrid,29.5,22.7,26.7,0.0,0.0,0.0,20.4,50.8
forecast,2026-07-01T17:32:08+00:00,3128760,Barcelona,ES,2026-07-04,41.375,2.125,Europe/Madrid,31.2,23.1,27.6,0.0,0.0,0.0,16.9,43.2
forecast,2026-07-01T17:32:08+00:00,3128760,Barcelona,ES,2026-07-05,41.375,2.125,Europe/Madrid,33.3,24.0,28.5,0.0,0.0,0.0,18.3,47.9
forecast,2026-07-01T17:32:08+00:00,3128760,Barcelona,ES,2026-07-06,41.375,2.125,Europe/Madrid,34.6,24.6,29.5,0.0,0.0,0.0,14.8,39.6
forecast,2026-07-01T17:32:08+00:00,3128760,Barcelona,ES,2026-07-07,41.375,2.125,Europe/Madrid,34.1,21.8,28.3,0.0,0.0,0.0,13.3,37.1
forecast,2026-07-01T17:32:08+00:00,2509954,Valencia,ES,2026-07-01,39.5,-0.375,Europe/Madrid,30.9,24.8,28.1,0.0,0.0,0.0,17.0,41.4
forecast,2026-07-01T17:32:08+00:00,2509954,Valencia,ES,2026-07-02,39.5,-0.375,Europe/Madrid,29.7,24.5,27.3,0.0,0.0,0.0,17.9,42.1
forecast,2026-07-01T17:32:08+00:00,2509954,Valencia,ES,2026-07-03,39.5,-0.375,Europe/Madrid,32.4,22.4,27.2,0.0,0.0,0.0,17.9,42.1
forecast,2026-07-01T17:32:08+00:00,2509954,Valencia,ES,2026-07-04,39.5,-0.375,Europe/Madrid,31.5,22.7,27.7,0.0,0.0,0.0,17.1,40.3
forecast,2026-07-01T17:32:08+00:00,2509954,Valencia,ES,2026-07-05,39.5,-0.375,Europe/Madrid,32.2,23.9,28.2,0.0,0.0,0.0,15.0,36.0
forecast,2026-07-01T17:32:08+00:00,2509954,Valencia,ES,2026-07-06,39.5,-0.375,Europe/Madrid,37.2,22.5,29.8,0.0,0.0,0.0,18.0,41.8
forecast,2026-07-01T17:32:08+00:00,2509954,Valencia,ES,2026-07-07,39.5,-0.375,Europe/Madrid,40.5,22.1,31.6,0.0,0.0,0.0,14.8,35.3
forecast,2026-07-01T17:32:08+00:00,2510911,Seville,ES,2026-07-01,37.375,-6.0,Europe/Madrid,41.8,23.9,32.0,0.0,0.0,0.0,17.9,42.1
forecast,2026-07-01T17:32:08+00:00,2510911,Seville,ES,2026-07-02,37.375,-6.0,Europe/Madrid,41.4,24.5,32.5,0.0,0.0,0.0,14.4,33.1
forecast,2026-07-01T17:32:08+00:00,2510911,Seville,ES,2026-07-03,37.375,-6.0,Europe/Madrid,40.8,25.4,32.8,0.0,0.0,0.0,12.5,29.9
forecast,2026-07-01T17:32:08+00:00,2510911,Seville,ES,2026-07-04,37.375,-6.0,Europe/Madrid,41.6,25.5,33.4,0.0,0.0,0.0,9.7,24.5
forecast,2026-07-01T17:32:08+00:00,2510911,Seville,ES,2026-07-05,37.375,-6.0,Europe/Madrid,42.2,23.8,32.8,0.0,0.0,0.0,13.3,30.6
forecast,2026-07-01T17:32:08+00:00,2510911,Seville,ES,2026-07-06,37.375,-6.0,Europe/Madrid,43.0,24.3,33.3,0.0,0.0,0.0,11.5,26.6
forecast,2026-07-01T17:32:08+00:00,2510911,Seville,ES,2026-07-07,37.375,-6.0,Europe/Madrid,43.2,23.8,33.2,0.0,0.0,0.0,18.4,37.1
forecast,2026-07-01T17:32:08+00:00,3128026,Bilbao,ES,2026-07-01,43.26,-2.9300003,Europe/Madrid,24.1,20.3,21.8,0.0,0.0,0.0,18.4,34.9
forecast,2026-07-01T17:32:08+00:00,3128026,Bilbao,ES,2026-07-02,43.26,-2.9300003,Europe/Madrid,24.6,19.7,21.9,0.1,0.1,0.0,15.3,34.6
forecast,2026-07-01T17:32:08+00:00,3128026,Bilbao,ES,2026-07-03,43.26,-2.9300003,Europe/Madrid,24.0,19.5,21.6,0.0,0.0,0.0,13.0,30.1
forecast,2026-07-01T17:32:08+00:00,3128026,Bilbao,ES,2026-07-04,43.26,-2.9300003,Europe/Madrid,29.6,18.3,23.5,0.0,0.0,0.0,16.8,36.0
forecast,2026-07-01T17:32:08+00:00,3128026,Bilbao,ES,2026-07-05,43.26,-2.9300003,Europe/Madrid,34.2,17.3,24.9,0.0,0.0,0.0,12.7,32.9
forecast,2026-07-01T17:32:08+00:00,3128026,Bilbao,ES,2026-07-06,43.26,-2.9300003,Europe/Madrid,32.8,16.5,24.8,0.0,0.0,0.0,13.7,39.2
forecast,2026-07-01T17:32:08+00:00,3128026,Bilbao,ES,2026-07-07,43.26,-2.9300003,Europe/Madrid,33.9,18.7,25.9,0.0,0.0,0.0,12.4,37.4
