city_name,date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max
Madrid,2023-01-01,14.6,3.7,0.0,,21.2
Madrid,2023-01-02,11.4,7.4,1.1,,19.1
Madrid,2023-01-03,11.5,4.3,0.0,,19.4
Madrid,2023-01-04,11.1,0.6,0.0,,13.3
Madrid,2023-01-05,10.9,0.8,0.0,8.8,15.5
Madrid,2023-01-06,9.8,-1.0,0.0,7.0,14.8
Madrid,2023-01-07,9.6,1.1,0.9,15.5,26.3
Madrid,2023-01-08,13.3,9.2,13.4,23.4,59.0
Madrid,2023-01-09,12.6,6.2,0.0,16.2,38.5
Madrid,2023-01-10,12.1,1.6,0.0,11.4,21.6
Madrid,2023-01-11,9.7,4.3,0.2,8.7,18.4
Madrid,2023-01-12,10.6,0.6,0.0,8.0,14.4
Madrid,2023-01-13,9.9,2.0,0.0,6.0,14.4
Madrid,2023-01-14,9.4,-0.3,0.0,8.5,17.3
Madrid,2023-01-15,11.0,3.0,0.1,15.0,33.8
Madrid,2023-01-16,9.5,1.8,0.2,26.8,62.6
Madrid,2023-01-17,10.6,4.0,2.3,29.9,63.4
Madrid,2023-01-18,6.9,1.2,0.1,18.1,38.5
Madrid,2023-01-19,8.3,0.9,0.1,22.2,47.2
Madrid,2023-01-20,13.7,6.1,0.6,16.0,46.4
Madrid,2023-01-21,10.2,2.7,2.0,17.8,33.8
Madrid,2023-01-22,8.4,-2.4,0.0,20.2,36.4
Madrid,2023-01-23,8.3,-3.0,0.3,18.0,33.1
Madrid,2023-01-24,5.7,-1.3,0.0,17.7,36.7
Madrid,2023-01-25,9.5,-2.1,0.0,11.9,25.9
Madrid,2023-01-26,9.2,0.8,0.0,19.6,
Madrid,2023-01-27,8.8,-1.3,0.2,26.5,
Madrid,2023-01-28,9.3,0.4,0.0,28.7,
Madrid,2023-01-29,7.1,-2.9,0.0,21.2,
Madrid,2023-01-30,7.6,-3.5,0.0,13.5,
Madrid,2023-01-31,9.9,-4.2,0.0,7.3,
Madrid,2023-02-01,11.6,-0.1,0.0,12.9,
Madrid,2023-02-02,12.5,-1.4,0.0,13.3,
Madrid,2023-02-03,14.9,-1.3,0.0,10.3,
Madrid,2023-02-04,16.1,-1.7,0.0,10.2,
Madrid,2023-02-05,16.4,1.6,0.0,16.6,
Madrid,2023-02-06,10.9,-0.4,0.5,26.6,
Madrid,2023-02-07,9.0,-0.4,0.5,12.4,
Madrid,2023-02-08,11.0,1.2,0.0,17.6,
Madrid,2023-02-09,9.4,2.3,0.1,9.5,
Madrid,2023-02-10,9.6,1.1,0.0,11.7,
Madrid,2023-02-11,10.7,-1.7,0.0,16.6,
Madrid,2023-02-12,12.1,-1.3,0.0,12.8,
Madrid,2023-02-13,11.7,-0.6,0.0,12.1,
Madrid,2023-02-14,12.2,2.3,0.0,13.4,
Madrid,2023-02-15,14.6,3.6,0.0,13.0,
Madrid,2023-02-16,15.3,0.5,0.0,,25.2
Madrid,2023-02-17,16.2,0.4,0.0,,25.6
Madrid,2023-02-18,16.2,2.5,0.0,,22.7
Madrid,2023-02-19,20.5,3.9,0.8,,27.4
Madrid,2023-02-20,20.8,5.1,0.0,,32.0
Madrid,2023-02-21,16.7,4.6,0.5,,26.6
Madrid,2023-02-22,17.2,3.5,0.1,,25.2
Madrid,2023-02-23,10.1,3.8,1.2,,52.2
Madrid,2023-02-24,10.3,-1.8,0.0,,22.7
Madrid,2023-02-25,10.4,-2.9,1.0,,38.2
Madrid,2023-02-26,12.3,-2.9,0.0,,36.4
Madrid,2023-02-27,6.4,-2.4,0.0,,41.4
Madrid,2023-02-28,9.8,-4.4,0.0,,41.8
Madrid,2023-03-01,6.7,-3.9,0.0,,28.1
Madrid,2023-03-02,9.9,-3.1,0.0,,19.1
